,Brand,Year,Model,Car/Suv,UsedOrNew,Transmission,DriveType,FuelType,FuelConsumption,Kilometres,CylindersinEngine,BodyType,Doors,Seats,Price,EngineL,CarAge,State
83,Hyundai,2011.0,I20,Hatchback,USED,Automatic,Front,Unleaded,6.4,188262.0,4,Hatchback,5,5,10995.0,1.4,13,NSW
85,Mazda,2010.0,CX-7,SUV,USED,Automatic,AWD,Unleaded,11.5,152831.0,4,SUV,4,5,11669.0,2.3,14,NSW
86,Jeep,2017.0,Renegade,SUV,USED,Automatic,Front,Premium,5.9,69218.0,4,SUV,4,5,24950.0,1.4,7,NSW
87,Mazda,2013.0,6,Sedan,USED,Automatic,Front,Unleaded,6.6,124093.0,4,Sedan,4,5,16990.0,2.5,11,NSW
89,Kia,2013.0,Grand,Wagon,USED,Automatic,Front,Unleaded,10.9,98672.0,6,Wagon,4,8,13995.0,3.5,11,NSW
90,Mitsubishi,2015.0,Lancer,Sedan,USED,Automatic,Front,Unleaded,7.2,61481.0,4,Sedan,4,5,17995.0,2.0,9,NSW
91,Subaru,2018.0,Impreza,Hatchback,USED,Automatic,AWD,Unleaded,6.6,61177.0,4,Hatchback,5,5,22990.0,2.0,6,NSW
92,Mazda,2014.0,3,Hatchback,USED,Automatic,Front,Unleaded,8.2,132648.0,4,Hatchback,5,5,16999.0,2.0,10,NSW
93,BMW,2021.0,X4,SUV,USED,Automatic,AWD,Unleaded,7.3,31367.0,4,SUV,5,5,79988.0,2.0,3,NSW
94,Mazda,2010.0,CX-7,SUV,USED,Automatic,AWD,Unleaded,11.5,174818.0,4,SUV,4,5,12800.0,2.3,14,NSW
95,Audi,2015.0,A5,Coupe,USED,Automatic,AWD,Premium,6.7,115334.0,4,Coupe,2,4,26880.0,2.0,9,NSW
96,BMW,2014.0,118I,Hatchback,USED,Automatic,Rear,Premium,5.8,57000.0,4,Hatchback,5,5,16990.0,1.6,10,NSW
100,Audi,2014.0,Q7,SUV,USED,Automatic,AWD,Diesel,9.2,199941.0,8,SUV,4,7,28999.0,4.1,10,NSW
101,Suzuki,2015.0,Celerio,Hatchback,USED,Automatic,Front,Unleaded,4.8,23316.0,3,Hatchback,5,4,13880.0,1.0,9,NSW
102,Subaru,2016.0,Liberty,Sedan,USED,Automatic,AWD,Premium,9.9,226127.0,6,Sedan,4,5,17950.0,3.6,8,NSW
103,Toyota,2019.0,C-HR,SUV,USED,Manual,Front,Premium,5.4,58185.0,4,SUV,4,5,33888.0,1.2,5,NSW
104,Subaru,2021.0,Forester,SUV,USED,Automatic,AWD,Unleaded,7.4,16136.0,4,SUV,4,5,39990.0,2.5,3,NSW
105,Mazda,2015.0,CX-3,SUV,USED,Automatic,AWD,Unleaded,6.7,31531.0,4,SUV,4,5,23950.0,2.0,9,NSW
106,Jeep,2018.0,Grand,SUV,USED,Automatic,4WD,Diesel,7.5,76472.0,6,SUV,4,5,41950.0,3.0,6,NSW
107,Hyundai,2018.0,I30,Hatchback,USED,Automatic,Front,Unleaded,7.4,62719.0,4,Hatchback,4,5,21999.0,2.0,6,NSW
108,Nissan,2020.0,X-Trail,SUV,USED,Automatic,Front,Unleaded,7.9,52035.0,4,SUV,4,5,27990.0,2.5,4,NSW
109,Honda,2010.0,City,Sedan,USED,Automatic,Front,Unleaded,6.6,146445.0,4,Sedan,4,5,8950.0,1.5,14,NSW
110,Honda,2020.0,CR-V,SUV,USED,Automatic,Front,Unleaded,7.3,35214.0,4,SUV,4,7,37880.0,1.5,4,NSW
111,Holden,2014.0,Cruze,Hatchback,USED,Manual,Front,Unleaded,7.4,163000.0,4,Hatchback,5,5,7950.0,1.6,10,NSW
112,Jeep,2013.0,Grand,SUV,USED,Automatic,Rear,Premium,10.1,69001.0,6,SUV,4,5,24990.0,3.6,11,NSW
113,Toyota,2007.0,RAV4,SUV,USED,Automatic,4WD,Unleaded,9.6,106718.0,4,SUV,4,5,14999.0,2.4,17,NSW
114,Holden,2016.0,Commodore,Sedan,USED,Automatic,Rear,Unleaded,8.3,59689.0,6,Sedan,4,5,22999.0,3.0,8,NSW
115,Mercedes-Benz,2010.0,CLC200,Coupe,USED,Automatic,Rear,Premium,9.0,177834.0,4,Coupe,2,4,7999.0,1.8,14,NSW
117,Mazda,2013.0,6,Sedan,USED,Automatic,Front,Unleaded,6.6,105767.0,4,Sedan,4,5,19999.0,2.5,11,NSW
